TxnDate,ValueDate,Narration,Amount,RefNo
2025-11-21,2025-11-23,IMPS,-158514,LED-002730
2025-11-21,2025-11-21,BROKER PAYOUT,-86917,LED-002731
2025-11-29,2025-11-29,AUTO SWEEP,58814,LED-002732
2025-11-29,2025-11-29,AUTO SWEEP,-63380,LED-002733
2025-11-20,2025-11-21,BROKER PAYOUT,-42526,LED-002734
2025-11-17,2025-11-17,UPI,-61872,LED-002735
2025-11-22,2025-11-24,IMPS,65053,LED-002736
2025-11-25,,AUTO SWEEP,-49125,LED-002737
2025-11-24,2025-11-25,BROKER PAYIN,-185546,LED-002738
2025-11-22,2025-11-23,IMPS,74094,LED-002739
2025-11-23,2025-11-25,UPI,9545,LED-002740
2025-12-01,2025-12-03,,-51147,LED-002741
2025-11-17,2025-11-19,UPI,125488,LED-002742
2025-11-19,2025-11-19,BROKER PAYIN,37200,LED-002743
2025-12-01,2025-12-02,UPI,-182254,LED-002744
2025-11-27,2025-11-28,IMPS,91930,LED-002745
2025-11-29,2025-11-30,UPI,28220,LED-002746
2025-11-19,2025-11-19,IMPS,139421,LED-002747
2025-12-01,2025-12-01,BROKER PAYOUT,-171883,LED-002748
2025-11-17,2025-11-19,IMPS,-97847,LED-002749
2025-11-24,2025-11-26,SUSPICIOUS BULK WITHDRAWAL,-892623,LED-002750
2025-11-30,2025-12-02,ATM WDL,92469,LED-002751
2025-11-20,2025-11-22,UPI,-59218,LED-002752
2025-11-26,2025-11-27,UPI,142655,LED-002753
2025-11-19,2025-11-21,BROKER PAYOUT,93107,LED-002754
2025-11-19,2025-11-21,ATM WDL,-98279,LED-002755
2025-11-24,2025-11-24,BROKER PAYIN,-180837,LED-002756
2025-11-18,2025-11-20,UPI,-146879,LED-002757
2025-11-20,2025-11-22,AUTO SWEEP,-24136,LED-002758
2025-11-20,2025-11-21,ATM WDL,2740,LED-002759
2025-11-29,2025-12-01,BROKER PAYOUT,-162517,LED-002760
2025-11-19,2025-11-20,IMPS,73770,LED-002761
2025-11-20,2025-11-21,ATM WDL,153248,LED-002762
2025-11-26,2025-11-27,AUTO SWEEP,76902,LED-002763
2025-11-18,2025-11-20,BROKER PAYIN,175449,LED-002764
2025-11-24,2025-11-26,BROKER PAYIN,-117538,LED-002765
2025-11-26,2025-11-26,BROKER PAYOUT,-124159,LED-002766
2025-11-30,2025-11-30,IMPS,-120459,LED-002767
2025-11-26,2025-11-26,BROKER PAYOUT,2334,LED-002768
2025-11-27,2025-11-28,BROKER PAYOUT,-55819,LED-002769
2025-11-21,2025-11-22,BROKER PAYOUT,90829,LED-002770
2025-11-24,2025-11-26,AUTO SWEEP,-2986,LED-002771
2025-11-21,2025-11-22,,15872,LED-002772
2025-11-18,2025-11-20,,-109778,LED-002773
2025-11-26,2025-11-26,ATM WDL,-152471,LED-002774
2025-11-28,2025-11-28,AUTO SWEEP,-152827,LED-002775
2025-11-22,2025-11-24,AUTO SWEEP,-122803,LED-002776
2025-11-23,,ATM WDL,-186517,LED-002777
2025-11-20,2025-11-22,BROKER PAYOUT,-23320,LED-002778
2025-11-18,,BROKER PAYOUT,-38954,LED-002779
2025-11-27,2025-11-29,SUSPICIOUS BULK WITHDRAWAL,-1500028,LED-002780
2025-11-27,,BROKER PAYOUT,-144674,LED-002781
2025-11-23,2025-11-24,ATM WDL,114130,LED-002782
2025-11-17,,BROKER PAYIN,19409,LED-002783
2025-11-19,2025-11-19,BROKER PAYIN,-84288,LED-002784
2025-11-18,2025-11-18,UPI,-104326,LED-002785
2025-11-21,2025-11-21,UPI,150269,LED-002786
2025-11-17,2025-11-19,BROKER PAYIN,91382,LED-002787
2025-11-29,,BROKER PAYOUT,-85284,LED-002788
2025-11-26,2025-11-27,AUTO SWEEP,134263,LED-002789
2025-12-01,2025-12-03,BROKER PAYIN,-58660,LED-002790
2025-11-26,2025-11-27,BROKER PAYIN,-46161,LED-002791
2025-11-17,2025-11-19,UPI,-199077,LED-002792
2025-12-01,2025-12-03,UPI,151775,LED-002793
2025-11-25,2025-11-26,UPI,26027,LED-002794
2025-11-22,2025-11-24,UPI,-112078,LED-002795
2025-11-17,2025-11-17,BROKER PAYIN,166166,LED-002796
2025-11-27,2025-11-28,BROKER PAYOUT,-104450,LED-002797
2025-11-23,2025-11-25,SUSPICIOUS BULK WITHDRAWAL,-812163,LED-002798
2025-11-26,2025-11-26,IMPS,-52825,LED-002799
2025-11-19,2025-11-21,UPI,-159184,LED-002800
2025-11-27,2025-11-28,ATM WDL,126224,LED-002801
2025-11-28,,AUTO SWEEP,195412,LED-002802
2025-11-25,2025-11-26,BROKER PAYOUT,124155,LED-002803
2025-11-22,,AUTO SWEEP,154386,LED-002804
2025-12-01,2025-12-02,ATM WDL,-145549,LED-002805
2025-11-29,2025-11-29,AUTO SWEEP,-106055,LED-002806
2025-11-22,,BROKER PAYIN,-163659,LED-002807
2025-11-25,2025-11-27,IMPS,-102169,LED-002808
2025-12-01,2025-12-01,ATM WDL,-75529,LED-002809
2025-11-27,,UPI,-17484,LED-002810
2025-11-22,2025-11-24,AUTO SWEEP,81543,LED-002811
2025-11-26,2025-11-27,,19066,LED-002812
2025-11-27,2025-11-27,BROKER PAYOUT,-15038,LED-002813
2025-11-24,2025-11-24,UPI,-159495,LED-002814
2025-11-21,2025-11-23,UPI,112843,LED-002815
2025-11-27,2025-11-28,UPI,-147176,LED-002816
2025-12-01,2025-12-02,UPI,187577,LED-002817
2025-11-17,2025-11-17,BROKER PAYIN,108875,LED-002818
2025-11-21,2025-11-23,BROKER PAYOUT,194100,LED-002819
2025-11-18,,BROKER PAYIN,5321,LED-002820
2025-11-28,2025-11-29,UPI,-141812,LED-002821
2025-11-24,2025-11-25,BROKER PAYOUT,-55195,LED-002822
2025-11-26,2025-11-28,,-92289,LED-002823
2025-11-23,2025-11-24,UPI,60935,LED-002824
2025-11-26,2025-11-27,BROKER PAYOUT,117715,LED-002825
2025-11-27,2025-11-28,ATM WDL,-73140,LED-002826
2025-11-19,2025-11-19,AUTO SWEEP,53320,LED-002827
2025-11-22,2025-11-24,AUTO SWEEP,52839,LED-002828
2025-11-24,2025-11-24,ATM WDL,104666,LED-002829
2025-11-25,2025-11-25,ATM WDL,-194207,LED-002830
2025-11-30,2025-12-02,AUTO SWEEP,95242,LED-002831
2025-11-18,2025-11-19,IMPS,179000,LED-002832
2025-11-28,2025-11-29,SUSPICIOUS BULK WITHDRAWAL,-1414624,LED-002833
2025-11-22,2025-11-24,UPI,199579,LED-002834
2025-11-29,2025-11-29,ATM WDL,95957,LED-002835
2025-11-26,2025-11-28,UPI,-65835,LED-002836
2025-11-22,2025-11-24,BROKER PAYIN,-180598,LED-002837
2025-11-29,2025-12-01,ATM WDL,-77374,LED-002838
2025-11-22,2025-11-23,BROKER PAYIN,70577,LED-002839
2025-11-28,2025-11-30,ATM WDL,-132204,LED-002840
2025-11-29,,BROKER PAYOUT,-6381,LED-002841
2025-11-21,2025-11-21,,-113666,LED-002842
2025-12-01,2025-12-03,UPI,-103494,LED-002843
2025-11-23,2025-11-23,ATM WDL,-145961,LED-002844
2025-11-25,,ATM WDL,-173895,LED-002845
2025-11-22,2025-11-22,BROKER PAYOUT,74968,LED-002846
2025-11-17,2025-11-19,ATM WDL,-177862,LED-002847
2025-11-30,2025-12-01,UPI,17489,LED-002848
2025-11-21,2025-11-22,AUTO SWEEP,56947,LED-002849
2025-11-20,2025-11-21,ATM WDL,-154977,LED-002850
2025-11-24,2025-11-26,ATM WDL,-88185,LED-002851
2025-11-25,2025-11-26,BROKER PAYIN,137432,LED-002852
2025-11-17,,IMPS,-128206,LED-002853
2025-11-25,2025-11-25,BROKER PAYOUT,199985,LED-002854
2025-11-29,,UPI,197915,LED-002855
2025-11-19,2025-11-21,UPI,-173574,LED-002856
2025-11-30,2025-12-02,BROKER PAYOUT,64777,LED-002857
2025-11-24,,BROKER PAYOUT,-136297,LED-002858
2025-11-21,2025-11-21,AUTO SWEEP,-128785,LED-002859
2025-12-01,2025-12-02,AUTO SWEEP,-131330,LED-002860
2025-11-27,2025-11-29,BROKER PAYIN,41383,LED-002861
2025-11-25,2025-11-25,AUTO SWEEP,101672,LED-002862
2025-11-26,2025-11-27,AUTO SWEEP,-120867,LED-002863
2025-11-20,,ATM WDL,-51266,LED-002864
2025-11-28,2025-11-30,IMPS,-57746,LED-002865
2025-11-25,,IMPS,-157218,LED-002866
2025-11-26,,BROKER PAYOUT,-17707,LED-002867
2025-11-22,,BROKER PAYOUT,181767,LED-002868
2025-11-22,2025-11-24,UPI,-164346,LED-002869
2025-11-19,2025-11-20,IMPS,7469,LED-002870
2025-11-19,2025-11-19,AUTO SWEEP,-32451,LED-002871
2025-11-23,2025-11-25,BROKER PAYOUT,-49168,LED-002872
2025-11-17,2025-11-19,IMPS,-176175,LED-002873
2025-11-24,2025-11-24,AUTO SWEEP,7291,LED-002874
2025-12-01,2025-12-02,ATM WDL,144996,LED-002875
2025-11-26,2025-11-27,UPI,9230,LED-002876
2025-12-01,2025-12-03,UPI,-134826,LED-002877
2025-11-26,2025-11-27,BROKER PAYOUT,-5044,LED-002878
2025-11-23,2025-11-25,AUTO SWEEP,198869,LED-002879
2025-11-18,2025-11-19,,167314,LED-002880
2025-11-18,2025-11-18,AUTO SWEEP,-179426,LED-002881
2025-11-28,2025-11-29,UPI,79660,LED-002882
2025-11-24,,AUTO SWEEP,28521,LED-002883
2025-12-01,2025-12-02,UPI,-115541,LED-002884
2025-11-24,2025-11-25,IMPS,154364,LED-002885
2025-11-23,2025-11-23,UPI,150743,LED-002886
2025-11-25,2025-11-25,IMPS,-30426,LED-002887
2025-11-29,2025-12-01,AUTO SWEEP,-59441,LED-002888
2025-11-24,2025-11-24,AUTO SWEEP,-114508,LED-002889
2025-11-17,2025-11-19,AUTO SWEEP,-39370,LED-002890
2025-11-22,2025-11-22,ATM WDL,-68798,LED-002891
2025-11-18,2025-11-19,BROKER PAYOUT,-54413,LED-002892
2025-11-22,2025-11-24,BROKER PAYIN,-62925,LED-002893
2025-11-30,2025-12-02,IMPS,57349,LED-002894
2025-11-24,2025-11-25,SUSPICIOUS BULK WITHDRAWAL,-898016,LED-002895
2025-11-27,2025-11-28,IMPS,-100338,LED-002896
2025-11-28,2025-11-30,IMPS,178311,LED-002897
2025-11-26,2025-11-28,UPI,-77122,LED-002898
2025-11-23,2025-11-24,SUSPICIOUS BULK WITHDRAWAL,-1713774,LED-002899
2025-11-17,2025-11-19,UPI,72873,LED-002900
2025-11-21,2025-11-22,UPI,-100838,LED-002901
2025-11-20,2025-11-20,ATM WDL,24018,LED-002902
2025-11-29,2025-12-01,ATM WDL,-103752,LED-002903
2025-11-24,,IMPS,-151474,LED-002904
2025-11-23,2025-11-24,ATM WDL,-139823,LED-002905
2025-11-29,2025-12-01,IMPS,-40243,LED-002906
2025-11-23,2025-11-23,BROKER PAYIN,-41580,LED-002907
2025-11-28,2025-11-30,BROKER PAYIN,-34769,LED-002908
2025-11-27,2025-11-28,BROKER PAYIN,11100,LED-002909
2025-11-22,2025-11-24,IMPS,47516,LED-002910
2025-11-18,2025-11-19,BROKER PAYIN,71926,LED-002911
2025-11-26,,ATM WDL,152645,LED-002912
2025-11-27,2025-11-28,,-19041,LED-002913
2025-11-26,2025-11-28,ATM WDL,-141543,LED-002914
2025-11-29,2025-11-30,BROKER PAYOUT,-23357,LED-002915
2025-11-19,2025-11-21,ATM WDL,-16658,LED-002916
2025-12-01,2025-12-01,UPI,-9106,LED-002917
2025-11-26,2025-11-27,BROKER PAYIN,-147588,LED-002918
2025-11-29,2025-11-30,BROKER PAYIN,134766,LED-002919
2025-11-23,2025-11-24,BROKER PAYOUT,-127738,LED-002920
2025-11-18,2025-11-19,BROKER PAYOUT,-98378,LED-002921
2025-11-27,2025-11-27,UPI,147898,LED-002922
2025-12-01,2025-12-03,BROKER PAYIN,-157426,LED-002923
2025-11-29,2025-12-01,,-20107,LED-002924
2025-12-01,2025-12-03,BROKER PAYIN,166620,LED-002925
2025-11-18,2025-11-20,AUTO SWEEP,-99308,LED-002926
2025-11-26,2025-11-28,IMPS,-172916,LED-002927
2025-11-20,2025-11-22,AUTO SWEEP,-133805,LED-002928
2025-12-01,,BROKER PAYIN,-137175,LED-002929
2025-11-18,2025-11-18,AUTO SWEEP,164141,LED-002930
2025-11-19,2025-11-19,IMPS,-107195,LED-002931
2025-11-20,2025-11-21,BROKER PAYIN,-117677,LED-002932
2025-11-20,2025-11-22,BROKER PAYOUT,-149591,LED-002933
2025-11-26,2025-11-26,AUTO SWEEP,-106824,LED-002934
2025-11-26,2025-11-26,ATM WDL,92140,LED-002935
2025-12-01,2025-12-01,UPI,-115024,LED-002936
2025-11-24,2025-11-24,AUTO SWEEP,-104958,LED-002937
2025-11-18,2025-11-18,IMPS,12521,LED-002938
2025-11-25,2025-11-27,BROKER PAYIN,-117857,LED-002939
2025-11-22,2025-11-23,IMPS,-127824,LED-002940
2025-11-27,2025-11-27,BROKER PAYIN,-55238,LED-002941
2025-11-22,2025-11-23,UPI,-19192,LED-002942
2025-11-23,2025-11-23,BROKER PAYOUT,-148503,LED-002943
2025-11-21,2025-11-23,BROKER PAYIN,128515,LED-002944
2025-11-18,2025-11-20,BROKER PAYIN,-72382,LED-002945
2025-11-26,2025-11-26,AUTO SWEEP,36539,LED-002946
2025-11-28,2025-11-30,ATM WDL,-95336,LED-002947
2025-11-24,2025-11-26,ATM WDL,-103995,LED-002948
2025-11-30,2025-11-30,BROKER PAYOUT,-154005,LED-002949
2025-11-27,2025-11-28,SUSPICIOUS BULK WITHDRAWAL,-1142775,LED-002950
2025-11-25,2025-11-26,BROKER PAYIN,-86389,LED-002951
2025-11-26,2025-11-27,BROKER PAYOUT,-193919,LED-002952
2025-11-19,2025-11-20,BROKER PAYIN,-17186,LED-002953
2025-11-22,2025-11-24,ATM WDL,-52428,LED-002954
2025-11-20,2025-11-21,IMPS,168207,LED-002955
2025-11-18,2025-11-19,ATM WDL,67866,LED-002956
2025-11-24,2025-11-26,BROKER PAYOUT,83120,LED-002957
2025-12-01,2025-12-01,ATM WDL,193929,LED-002958
2025-11-25,2025-11-26,ATM WDL,-102237,LED-002959
2025-11-18,2025-11-20,BROKER PAYIN,150119,LED-002960
2025-12-01,2025-12-03,IMPS,114219,LED-002961
2025-11-23,2025-11-23,IMPS,144513,LED-002962
2025-11-18,2025-11-20,UPI,-104383,LED-002963
2025-11-22,2025-11-22,IMPS,-156268,LED-002964
2025-12-01,2025-12-02,BROKER PAYOUT,82230,LED-002965
2025-11-18,2025-11-19,BROKER PAYIN,13935,LED-002966
2025-11-26,2025-11-28,AUTO SWEEP,-105963,LED-002967
2025-11-24,2025-11-25,BROKER PAYOUT,44929,LED-002968
2025-11-22,,BROKER PAYIN,-92330,LED-002969
2025-11-27,2025-11-29,IMPS,-22557,LED-002970
2025-11-26,2025-11-27,AUTO SWEEP,71512,LED-002971
2025-11-26,2025-11-26,UPI,13209,LED-002972
2025-12-01,2025-12-02,BROKER PAYIN,-149452,LED-002973
2025-11-28,2025-11-28,BROKER PAYOUT,-153911,LED-002974
2025-11-22,2025-11-23,UPI,-77107,LED-002975
2025-11-17,2025-11-17,UPI,-147791,LED-002976
2025-11-26,2025-11-28,BROKER PAYOUT,-148677,LED-002977
2025-11-22,2025-11-24,BROKER PAYOUT,-3941,LED-002978
2025-11-24,2025-11-26,BROKER PAYIN,-194940,LED-002979
2025-11-25,2025-11-25,BROKER PAYIN,176026,LED-002980
2025-11-30,2025-12-01,ATM WDL,-57336,LED-002981
2025-11-21,2025-11-22,BROKER PAYIN,-166336,LED-002982
2025-11-28,2025-11-29,ATM WDL,52816,LED-002983
2025-11-24,2025-11-25,IMPS,-113909,LED-002984
2025-11-22,2025-11-23,BROKER PAYIN,191956,LED-002985
2025-11-30,2025-12-01,AUTO SWEEP,37735,LED-002986
2025-11-25,2025-11-25,IMPS,81819,LED-002987
2025-12-01,2025-12-01,BROKER PAYIN,-128037,LED-002988
2025-11-26,2025-11-26,BROKER PAYIN,-157276,LED-002989
2025-11-20,2025-11-22,IMPS,144544,LED-002990
2025-11-25,2025-11-26,UPI,162192,LED-002991
2025-11-18,2025-11-18,AUTO SWEEP,-113911,LED-002992
2025-11-20,2025-11-22,UPI,160441,LED-002993
2025-11-23,2025-11-25,UPI,-126853,LED-002994
2025-11-26,2025-11-28,BROKER PAYIN,92580,LED-002995
2025-11-29,2025-11-30,BROKER PAYOUT,88365,LED-002996
2025-11-25,2025-11-25,ATM WDL,-121185,LED-002997
2025-11-28,2025-11-28,IMPS,142640,LED-002998
2025-11-25,2025-11-26,BROKER PAYIN,-56953,LED-002999
2025-11-26,2025-11-27,BROKER PAYOUT,-87919,LED-003000
2025-11-26,2025-11-28,ATM WDL,18031,LED-003001
2025-12-01,2025-12-03,BROKER PAYIN,-22707,LED-003002
2025-11-27,2025-11-28,BROKER PAYIN,-16011,LED-003003
2025-12-01,2025-12-01,BROKER PAYIN,25081,LED-003004
2025-11-27,,UPI,-119676,LED-003005
2025-12-01,2025-12-02,ATM WDL,15587,LED-003006
2025-11-19,2025-11-21,ATM WDL,-43721,LED-003007
2025-11-20,,BROKER PAYOUT,-34526,LED-003008
2025-11-28,2025-11-30,ATM WDL,83234,LED-003009
2025-11-20,2025-11-22,AUTO SWEEP,-187720,LED-003010
2025-11-30,2025-11-30,UPI,-57279,LED-003011
2025-12-01,2025-12-01,ATM WDL,-136950,LED-003012
2025-11-21,2025-11-23,IMPS,-63049,LED-003013
2025-11-22,2025-11-22,BROKER PAYOUT,56572,LED-003014
2025-11-25,2025-11-27,BROKER PAYOUT,159340,LED-003015
2025-11-27,2025-11-29,BROKER PAYIN,106768,LED-003016
2025-11-26,2025-11-27,IMPS,-67283,LED-003017
2025-11-18,,IMPS,186541,LED-003018
2025-11-28,2025-11-28,IMPS,-176547,LED-003019
2025-11-22,2025-11-23,,10700,LED-003020
2025-12-01,2025-12-02,UPI,-125018,LED-003021
2025-11-19,2025-11-21,BROKER PAYIN,-153155,LED-003022
2025-12-01,2025-12-02,UPI,192771,LED-003023
2025-12-01,2025-12-02,IMPS,-50053,LED-003024
2025-11-27,2025-11-27,BROKER PAYIN,60594,LED-003025
2025-11-29,2025-11-30,UPI,-187734,LED-003026
2025-11-30,2025-11-30,IMPS,13690,LED-003027
2025-11-24,2025-11-25,ATM WDL,-12924,LED-003028
2025-12-01,2025-12-01,UPI,176012,LED-003029
2025-11-27,2025-11-28,BROKER PAYOUT,-32854,LED-003030
2025-11-23,2025-11-25,AUTO SWEEP,-71057,LED-003031
2025-12-01,2025-12-02,BROKER PAYIN,2971,LED-003032
2025-11-29,2025-11-30,BROKER PAYOUT,-129782,LED-003033
2025-11-26,2025-11-28,IMPS,-106434,LED-003034
2025-11-24,2025-11-25,UPI,-95675,LED-003035
2025-11-30,2025-12-02,BROKER PAYIN,138783,LED-003036
2025-11-25,2025-11-26,BROKER PAYOUT,-195413,LED-003037
2025-12-01,2025-12-01,BROKER PAYIN,-192851,LED-003038
2025-11-27,2025-11-29,,-34435,LED-003039
2025-11-22,2025-11-22,AUTO SWEEP,-185795,LED-003040
2025-11-30,2025-12-02,AUTO SWEEP,-35683,LED-003041
2025-11-27,2025-11-28,BROKER PAYIN,152680,LED-003042
2025-12-01,2025-12-02,UPI,57620,LED-003043
2025-11-28,2025-11-30,AUTO SWEEP,-177865,LED-003044
2025-12-01,2025-12-01,AUTO SWEEP,-198867,LED-003045
2025-11-23,2025-11-23,BROKER PAYIN,-170139,LED-003046
2025-11-19,2025-11-21,ATM WDL,-86209,LED-003047
2025-11-20,2025-11-21,IMPS,96277,LED-003048
2025-11-29,2025-12-01,ATM WDL,-100249,LED-003049
2025-11-27,2025-11-29,AUTO SWEEP,184858,LED-003050
2025-11-23,2025-11-24,IMPS,128734,LED-003051
2025-11-27,2025-11-27,SUSPICIOUS BULK WITHDRAWAL,-1017211,LED-003052
2025-11-30,2025-12-02,ATM WDL,-177987,LED-003053
2025-11-23,2025-11-24,IMPS,172660,LED-003054
2025-11-27,2025-11-27,UPI,-44324,LED-003055
2025-11-23,2025-11-23,UPI,-29772,LED-003056
2025-11-19,2025-11-20,BROKER PAYIN,-143596,LED-003057
2025-11-17,2025-11-17,AUTO SWEEP,-136790,LED-003058
2025-11-20,2025-11-20,BROKER PAYOUT,-164490,LED-003059
2025-11-29,2025-11-30,BROKER PAYOUT,78426,LED-003060
2025-11-24,2025-11-24,IMPS,-55796,LED-003061
2025-11-24,2025-11-26,AUTO SWEEP,125515,LED-003062
2025-11-18,2025-11-20,IMPS,183519,LED-003063
2025-11-29,2025-12-01,,-123900,LED-003064
2025-11-21,2025-11-22,IMPS,-106685,LED-003065
2025-11-28,2025-11-29,ATM WDL,55918,LED-003066
2025-11-28,,IMPS,155779,LED-003067
2025-11-17,2025-11-18,AUTO SWEEP,-25345,LED-003068
2025-11-29,2025-11-29,BROKER PAYOUT,104151,LED-003069
2025-11-17,2025-11-19,BROKER PAYOUT,-101560,LED-003070
2025-11-24,2025-11-26,AUTO SWEEP,165214,LED-003071
2025-11-18,2025-11-20,BROKER PAYIN,134709,LED-003072
2025-12-01,2025-12-03,BROKER PAYOUT,-184502,LED-003073
2025-11-23,2025-11-24,AUTO SWEEP,-4665,LED-003074
2025-11-22,2025-11-22,ATM WDL,59392,LED-003075
2025-11-27,2025-11-27,SUSPICIOUS BULK WITHDRAWAL,-697229,LED-003076
2025-11-29,2025-11-30,IMPS,65022,LED-003077
2025-11-25,2025-11-27,BROKER PAYIN,-53351,LED-003078
2025-11-17,2025-11-19,UPI,93253,LED-003079
2025-11-25,2025-11-25,ATM WDL,-78769,LED-003080
2025-11-25,2025-11-27,UPI,30745,LED-003081
2025-11-27,2025-11-29,BROKER PAYOUT,98393,LED-003082
2025-11-26,,BROKER PAYIN,54211,LED-003083
2025-11-30,2025-12-02,UPI,110062,LED-003084
2025-11-24,2025-11-26,BROKER PAYOUT,56154,LED-003085
2025-11-30,2025-11-30,ATM WDL,-169193,LED-003086
2025-11-19,,ATM WDL,45108,LED-003087
2025-11-23,2025-11-25,UPI,-77121,LED-003088
2025-11-17,2025-11-18,IMPS,-54491,LED-003089
2025-12-01,2025-12-02,AUTO SWEEP,-110536,LED-003090
2025-11-17,2025-11-18,AUTO SWEEP,-168997,LED-003091
2025-11-30,2025-12-02,UPI,51495,LED-003092
2025-11-27,2025-11-28,UPI,-146075,LED-003093
2025-11-21,2025-11-22,AUTO SWEEP,-149623,LED-003094
2025-11-24,,UPI,128415,LED-003095
2025-11-18,2025-11-20,AUTO SWEEP,73898,LED-003096
2025-11-28,2025-11-28,BROKER PAYOUT,-45338,LED-003097
2025-11-21,2025-11-23,AUTO SWEEP,-140084,LED-003098
2025-11-29,2025-11-29,BROKER PAYIN,-88626,LED-003099
2025-11-23,2025-11-23,AUTO SWEEP,-38566,LED-003100
2025-11-18,2025-11-18,ATM WDL,97847,LED-003101
2025-11-19,2025-11-20,BROKER PAYIN,75591,LED-003102
2025-11-18,2025-11-19,BROKER PAYIN,117025,LED-003103
2025-11-25,2025-11-27,BROKER PAYIN,126480,LED-003104
2025-11-19,2025-11-21,BROKER PAYOUT,56929,LED-003105
2025-11-23,2025-11-25,ATM WDL,101281,LED-003106
2025-11-25,2025-11-25,BROKER PAYOUT,-194687,LED-003107
2025-11-24,2025-11-26,AUTO SWEEP,-98662,LED-003108
2025-11-21,2025-11-22,BROKER PAYIN,-29045,LED-003109
2025-11-26,2025-11-27,ATM WDL,154981,LED-003110
2025-11-23,2025-11-25,,-27459,LED-003111
2025-11-27,2025-11-28,BROKER PAYOUT,94238,LED-003112
2025-11-19,2025-11-21,UPI,98692,LED-003113
2025-11-20,,BROKER PAYIN,-111482,LED-003114
2025-11-29,2025-11-30,AUTO SWEEP,-160036,LED-003115
2025-11-23,,UPI,64443,LED-003116
2025-11-20,,UPI,-114264,LED-003117
2025-11-27,2025-11-27,IMPS,108117,LED-003118
2025-11-18,2025-11-19,BROKER PAYOUT,14878,LED-003119
2025-11-28,2025-11-29,BROKER PAYIN,89899,LED-003120
2025-11-28,2025-11-29,BROKER PAYIN,69991,LED-003121
2025-11-28,2025-11-29,AUTO SWEEP,34496,LED-003122
2025-11-26,2025-11-27,IMPS,-156687,LED-003123
2025-11-27,2025-11-28,AUTO SWEEP,-179869,LED-003124
2025-11-21,2025-11-22,IMPS,98987,LED-003125
2025-11-21,,BROKER PAYIN,-91789,LED-003126
2025-11-26,2025-11-27,ATM WDL,-177797,LED-003127
2025-11-23,2025-11-25,BROKER PAYIN,-156211,LED-003128
2025-11-18,2025-11-19,IMPS,189580,LED-003129
2025-11-28,2025-11-30,AUTO SWEEP,65748,LED-003130
2025-12-01,2025-12-01,AUTO SWEEP,-189677,LED-003131
2025-11-20,2025-11-22,BROKER PAYOUT,92487,LED-003132
2025-11-21,,BROKER PAYOUT,99915,LED-003133
2025-11-22,2025-11-23,AUTO SWEEP,133686,LED-003134
2025-11-24,2025-11-26,ATM WDL,140446,LED-003135
2025-11-30,2025-12-02,AUTO SWEEP,65199,LED-003136
2025-11-26,2025-11-28,AUTO SWEEP,59456,LED-003137
2025-11-26,,UPI,153000,LED-003138
2025-11-17,2025-11-18,AUTO SWEEP,143838,LED-003139
2025-11-24,2025-11-25,UPI,162954,LED-003140
2025-11-29,2025-11-29,UPI,-111656,LED-003141
2025-11-17,2025-11-18,AUTO SWEEP,-81316,LED-003142
2025-11-20,2025-11-21,UPI,188273,LED-003143
2025-11-17,2025-11-19,IMPS,-7764,LED-003144
2025-11-17,2025-11-17,SUSPICIOUS BULK WITHDRAWAL,-1182157,LED-003145
2025-11-21,,IMPS,-73664,LED-003146
2025-11-18,2025-11-19,BROKER PAYOUT,149746,LED-003147
2025-11-24,2025-11-25,BROKER PAYIN,-12019,LED-003148
2025-11-23,2025-11-25,BROKER PAYOUT,127246,LED-003149
2025-12-01,,ATM WDL,-37606,LED-003150
2025-11-30,2025-12-02,ATM WDL,-121060,LED-003151
2025-11-26,2025-11-27,BROKER PAYIN,-98817,LED-003152
2025-11-24,2025-11-26,AUTO SWEEP,130786,LED-003153
2025-11-27,2025-11-29,BROKER PAYIN,-130544,LED-003154
2025-11-23,2025-11-25,BROKER PAYOUT,-188786,LED-003155
2025-11-30,2025-11-30,AUTO SWEEP,-31921,LED-003156
2025-11-20,2025-11-22,AUTO SWEEP,-2225,LED-003157
2025-11-24,2025-11-24,AUTO SWEEP,121317,LED-003158
2025-11-24,2025-11-26,BROKER PAYOUT,-112177,LED-003159
2025-11-21,2025-11-23,BROKER PAYIN,-98408,LED-003160
2025-11-19,2025-11-19,BROKER PAYOUT,183749,LED-003161
2025-11-20,2025-11-22,UPI,52258,LED-003162
2025-11-22,2025-11-24,UPI,-88527,LED-003163
2025-11-23,2025-11-24,UPI,199423,LED-003164
2025-11-17,2025-11-17,BROKER PAYIN,-89777,LED-003165
2025-11-18,,BROKER PAYIN,152497,LED-003166
2025-11-29,2025-12-01,IMPS,-179060,LED-003167
2025-11-22,2025-11-23,AUTO SWEEP,-163793,LED-003168
2025-11-17,2025-11-18,BROKER PAYOUT,106289,LED-003169
2025-11-30,2025-11-30,BROKER PAYOUT,-189684,LED-003170
2025-11-22,2025-11-23,UPI,-152141,LED-003171
2025-11-24,2025-11-25,ATM WDL,136891,LED-003172
2025-11-21,2025-11-23,BROKER PAYOUT,116859,LED-003173
2025-12-01,2025-12-02,IMPS,-45417,LED-003174
2025-11-28,2025-11-29,BROKER PAYIN,119512,LED-003175
2025-11-29,2025-12-01,SUSPICIOUS BULK WITHDRAWAL,-1052522,LED-003176
2025-11-18,2025-11-20,BROKER PAYIN,-174652,LED-003177
2025-11-25,2025-11-27,IMPS,23540,LED-003178
